experiment,dataset,setting,accuracy,dice,sensitivity,specificity,auc
E3_Green_CLAHE_UNet,DRIVE_test,raw,0.9534019943787154,0.8212429549378581,0.8459153372062262,0.9693921803499359,0.9775807932766354
E3_Green_CLAHE_UNet,DRIVE_test,postprocess_min_area_30,0.9534312719288497,0.8207635911750766,0.8426127633876067,0.9699081839794221,0.9062604736835145
E3_Green_CLAHE_UNet,STARE_AH,raw,0.9433894578538368,0.7428045367600948,0.8319984841443322,0.9546495300075302,0.9610028225532226
E3_Green_CLAHE_UNet,STARE_AH,postprocess_min_area_30,0.9440763262664728,0.7445094393720699,0.8302087392662321,0.9556091640313916,0.8929089516488118
E3_Green_CLAHE_UNet,STARE_VK,raw,0.9357475674211736,0.7437628210364697,0.7056685709899948,0.9740578337081756,0.938332945973924
E3_Green_CLAHE_UNet,STARE_VK,postprocess_min_area_30,0.9358130744443152,0.7430167716364118,0.7022966776091326,0.9747000970134737,0.8384983873113031
