dataset,comparison,accuracy,dice,sensitivity,specificity,auc
DRIVE_test,1st manual vs 2nd manual,0.12730248511433742,0.22565339548124488,1.0,0.0,0.5
STARE,AH vs VK,0.9356882629641324,0.7396537948519034,0.8936274336551373,0.9393728115476359,0.9165001226013866
