experiment,threshold,accuracy,dice,sensitivity,specificity,auc
M2_E1_RGB_NoSkip,0.4,0.9087701960165451,0.6483060184159777,0.6523083167813708,0.9490107602697908,0.8953637819340854
M2_E2_Green_NoSkip,0.35,0.9072990476337879,0.6560518310077856,0.6622750369231294,0.9451810912525138,0.9001560535159985
M2_E3_Green_CLAHE_NoSkip,0.4,0.910578127762091,0.6599793813345431,0.6558158074017317,0.9501124842693869,0.903091211028413
